text,rating_claude,rating_gpt4,rating_llama4,rating_mistral
the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,1.0,1.0,,
"the place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .",1.0,1.0,,
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .,1.0,1.0,,
please be aware that it ' s cash or amex only !,0.0,0.0,-1.0,-1.0
"with the exception of our lemon salad that had so much pepper on it that our eyes started watering , the food here was decent , not great .",-1.0,0.0,0.0,0.0
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",-1.0,-1.0,-1.0,-1.0
"the decor in this place is very diner - ish and the kind of place you expect in the east village - not romantic , just simple , small and sparse .",0.0,0.0,0.0,0.0
problem is nothing at prune is particularly memorable .,-1.0,-1.0,0.0,-1.0
no plans to return anytime soon .,-1.0,-1.0,,-1.0
this place is so much fun .,1.0,1.0,,1.0
our family never expected such incredible entertainment in a restaurant .,1.0,1.0,,1.0
our food was great too !,1.0,1.0,,1.0
and really large portions .,1.0,1.0,,1.0
the staff was the friendliest that have seen in new york .,1.0,1.0,1.0,
if you want something really different than try jekyll and hyde .,1.0,0.0,1.0,
it is a lot of fun with live entertainment and all kinds of disney type special effects .,1.0,1.0,1.0,
the food was pretty tradional but it was hot and good with large portions .,1.0,1.0,1.0,
i highly recommend it .,1.0,1.0,1.0,
the place is a lot of fun .,1.0,1.0,,1.0
my six year old loved it .,1.0,1.0,,1.0
"the food however , is what one might expect .",0.0,0.0,,0.0
it is very overpriced and not very tasty .,-1.0,-1.0,,-1.0
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,-1.0,-1.0,,-1.0
service was slow had to wait to order and get food although not crowded .,-1.0,-1.0,-1.0,
drinks way over priced .,-1.0,-1.0,-1.0,
food was good not great not worth the wait or another visit,0.0,-1.0,0.0,
great pizza for lunch place .,1.0,1.0,1.0,
service was quick .,1.0,1.0,1.0,
the pizza was great .,1.0,1.0,,
and it was quick which is very important .,1.0,1.0,,
have the iced tea .,0.0,0.0,,
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",1.0,1.0,,
delivery is fast too .,1.0,1.0,,
"great friendly service , fast seating , fast delivery , excellent sushi .",1.0,1.0,1.0,1.0
ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .,1.0,1.0,1.0,1.0
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",1.0,1.0,1.0,1.0
they have a huge selection of different cream cheeses and all of their salads are great .,1.0,1.0,1.0,1.0
the lox is always fresh too .,1.0,1.0,1.0,1.0
highly recommended to all !,1.0,1.0,1.0,
not impressed with the food .,-1.0,-1.0,-1.0,
prices too high for this cramped and unappealing resturant .,-1.0,-1.0,-1.0,
zero ambiance to boot .,-1.0,-1.0,-1.0,
i thought this place was totally overrated .,-1.0,-1.0,-1.0,
everything we had was good or ok . . . . but definitely nothing great .,0.0,0.0,,0.0
"the ambience was nice , but service was n ' t so great .",0.0,0.0,,0.0
"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .",-1.0,-1.0,,-1.0
this is the best shabu - shabu restaurant in the try - state area .,1.0,1.0,,1.0
thius is a must for anyone who loves shabu - shabu .,1.0,1.0,,1.0
"the atmosphere is nothing special , but it feels like a sushi establishment in tokyo .",0.0,1.0,0.0,
the owner and staff are all japanese as well and that adds to the entire ambiance .,1.0,1.0,1.0,
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",1.0,1.0,1.0,
i must give it yon out of yon stars !,0.0,0.0,1.0,
taxan delicious !,1.0,1.0,1.0,
"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !",1.0,1.0,,1.0
we were n ' t !,0.0,-1.0,,0.0
the prices were cheap compared to the quality of service and food .,1.0,-1.0,,1.0
"we liked it so much , that we will always make it a point to dine here when we visit new york .",1.0,1.0,,1.0
the location and ambience is ok but the food is what makes up for it .,0.0,1.0,,0.0
there is a lot of variety even for people who eat vegetarian like me .,1.0,1.0,1.0,
try green curry with vegetables .,1.0,0.0,1.0,
"the quantity is also very good , you will come out satisfied .",1.0,1.0,1.0,
"the service is ok , some of the people did n ' t get what they asked for .",0.0,-1.0,0.0,
i was there on sat . for my birthday and we had an excellent time .,1.0,1.0,1.0,
i had the best ravioli ever .,1.0,1.0,1.0,
the wine the service was very good too .,1.0,1.0,1.0,
moderate prices .,0.0,0.0,0.0,
a little noise but i think that was because of our party !,0.0,1.0,1.0,
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,1.0,1.0,1.0,
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",1.0,1.0,,1.0
"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .",1.0,1.0,,1.0
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",1.0,1.0,,1.0
a guaranteeed delight !,1.0,1.0,,1.0
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",1.0,1.0,,1.0
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .",1.0,1.0,1.0,
i pray it stays open forever .,1.0,1.0,1.0,
"i found the food , service and value exceptional everytime i have been there .",1.0,1.0,1.0,
i felt as though i were eating in paris .,1.0,1.0,1.0,
the service was excellent - friendly and attentive .,1.0,1.0,1.0,
the prices are wonderfully low .,1.0,1.0,,1.0
very good wine choices .,1.0,1.0,,1.0
who has room for cheesesticks with the best pizza in nyc !,1.0,1.0,,1.0
get the pepperoni - yum - and a family style salad .,1.0,1.0,,1.0
great staff .,1.0,1.0,,1.0
always great service !,1.0,1.0,1.0,
i go twice a month !,1.0,1.0,1.0,
"the food is good , i ca n ' t lie .",1.0,1.0,1.0,
the hostess and the waitress were incredibly rude and did everything they could to rush us out .,-1.0,-1.0,-1.0,
we were planning to get dessert but the waitress basically through the bill at us before we had a chance to order .,-1.0,-1.0,-1.0,
"this place is pricey , and yes , the food is worth it ; but the service makes you feel like you should be paying a quater of the price .",0.0,-1.0,,-1.0
save yourself the time and trouble and skip this one !,-1.0,-1.0,,-1.0
amma is nothing special .,-1.0,0.0,,-1.0
i ate here a week ago and found most dishes average at best and too expensive .,-1.0,-1.0,,-1.0
will not be back .,-1.0,-1.0,,-1.0
"do n ' t dine at tamarind for the vegetarian dishes , they are simply not up to par with the non - veg selections .",-1.0,-1.0,-1.0,-1.0
this place is always packed .,0.0,1.0,1.0,1.0
"most importantly , food is excellent .",1.0,1.0,1.0,1.0
try the sea bass .,1.0,1.0,1.0,0.0
highly recommended .,1.0,1.0,1.0,1.0
first of all dal bukhara rocks .,1.0,1.0,1.0,
i am happy i did the food was awsome .,1.0,1.0,1.0,
and yes dal bukhara is so dam good and so are all the kababs .,1.0,1.0,1.0,
but overall i give it a 10,1.0,1.0,1.0,
10,1.0,1.0,1.0,
haru on park s is simply disgusting .,-1.0,-1.0,,-1.0
the fish was not fresh and the rice tasted old and stale .,-1.0,-1.0,,-1.0
"quite frankly , this is some of the worst sushi i have ever tried .",-1.0,-1.0,,-1.0
will never be back .,-1.0,-1.0,,-1.0
honestly the worst sushi my husband and i had in our entire lives .,-1.0,-1.0,,-1.0
not sure why this restaurant would be rated that highly .,0.0,-1.0,-1.0,
the all - u - can - eat sushi is definitely in very poor quality .,-1.0,-1.0,-1.0,
wont come back again for sure !,-1.0,-1.0,-1.0,
"the only things u could really taste are the very salty soy sauce ( even its low sodium ) , the vinegar - soaked rice , and the scallion on top of the fish .",0.0,-1.0,-1.0,
the waitstaffs are nice though .,1.0,1.0,1.0,
i have been to roth ' s twice and both times were very disappointing .,-1.0,-1.0,,-1.0
"both times i was extremely dissappointed by the service , which was boarderline rude .",-1.0,-1.0,,-1.0
they wouldnt even let me finish my glass of wine before offering another .,1.0,-1.0,,1.0
much of the time it seems like they do not care about you .,-1.0,-1.0,,-1.0
"the dinner was ok , nothing i would have again .",0.0,0.0,,0.0
this was a great surprise .,1.0,1.0,1.0,1.0
i look forward to eating here again,1.0,1.0,1.0,1.0
planet thai is great !,1.0,1.0,1.0,1.0
"we love the food , drinks , and atmosphere !",1.0,1.0,1.0,1.0
"the svc can be a bit rude at times , esp if you have big group , but overall the restaurant is a must !",1.0,1.0,1.0,1.0
"try the pad thai , it ' s fabulous and their prices are so cheap !",1.0,1.0,,
"just because it ' s cheap does not mean the portions are small or the food is nasty , it is great !",1.0,1.0,,
"they forgot a sandwich , did n ' t include plastic forks , and did n ' t include pita with the hummus platter .",-1.0,-1.0,,
"also , the sandwiches ( nearing $ 7 ) did n ' t come with anything like chips or a side .",-1.0,-1.0,,
"overall , not worth the money .",-1.0,-1.0,,
"eating in , the atmosphere saves it , but at your desk , it ' s a very disappointing experience .",-1.0,-1.0,0.0,-1.0
chennai garden is my favorite indian restaurant in the city .,1.0,1.0,1.0,1.0
they have authentic indian at amazing prices .,1.0,1.0,1.0,1.0
this restaurant is vegetarian ; there are no meat dishes whatsoever .,0.0,0.0,0.0,0.0
the seats are uncomfortable if you are sitting against the wall on wooden benches .,-1.0,-1.0,-1.0,-1.0
it ' s a rather cramped and busy restaurant and it closes early .,0.0,-1.0,-1.0,
the food is tasty and portion sizes are appropriate .,1.0,1.0,1.0,
this is a nice restaurant if you are looking for a good place to host an intimate dinner meeting with business associates .,1.0,1.0,1.0,
not a great place for family or general dining .,-1.0,-1.0,-1.0,
food is excellent .,1.0,1.0,1.0,
fish is so very fresh .,1.0,1.0,,1.0
waitstaff are very friendly .,1.0,1.0,,1.0
love yuka .,1.0,1.0,,1.0
mermaid inn is an overall good restaurant with really good seafood .,1.0,1.0,,1.0
the lobster sandwich is good and the spaghetti with scallops and shrimp is great .,1.0,1.0,,1.0
the service is good and ambience is good for a date or group outing .,1.0,1.0,1.0,1.0
the only fallback on this restaurant is the prices .,0.0,1.0,-1.0,-1.0
"even though its good seafood , the prices are too high .",0.0,0.0,0.0,0.0
the lobster sandwich is $ 24 and although it was good it was not nearly enough to warrant that price .,-1.0,-1.0,0.0,-1.0
we were very pleasantly surprised .,1.0,1.0,1.0,1.0
"the food was delicious ( i had a halibut special , my husband had steak ) , and the service was top - notch .",1.0,1.0,,
"when my dessert came , there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift , and said he knew it was a special occassion of some sort .",1.0,1.0,,
truly the mark of an attentive waiter .,1.0,1.0,,
i highly recommend the restaurant based on our experience last night .,1.0,1.0,,
we ate at this thai place following the reviews but very unhappy with the foods .,-1.0,-1.0,,
we thought that this place is using too much of msg cooking in the foods .,-1.0,-1.0,-1.0,-1.0
"they do n ' t concern much of customer ' s health , just want to make money .",-1.0,-1.0,-1.0,-1.0
please do n ' t fool us .,-1.0,-1.0,-1.0,-1.0
"i recommend the jelly fish , drunken chicken and the soupy dumplings , certainly the stir fry blue crab .",1.0,1.0,1.0,1.0
the food is so cheap and the waiters are nice .,1.0,1.0,1.0,1.0
"of course , it is crowded but who cares .",1.0,1.0,,
authentic shanghai style and i can not recommend a better shanghai place in new york .,1.0,1.0,,
have frequented ' ino for several years and the food remains excellent .,1.0,1.0,,
cheese plate is a varied delight and great bargain at $ 10 .,1.0,1.0,,
"the large selection of bruschettas , paninis , tramezzinis keep the palate from stagnating .",1.0,1.0,,
"( the asparagus , truffle oil , parmesan bruschetta is a winner ! )",1.0,1.0,,1.0
"be sure to try the seasonal , and always delicious , specials .",1.0,1.0,,1.0
definitely a neighborhood favorite .,1.0,1.0,,1.0
i loved this place ! !,1.0,1.0,,1.0
i almost hesititate to write a review because the atmosphere was so great and i would hate for it too become to crowded .,1.0,1.0,,1.0
"i like cafe noir dont get me wrong , it is jsut that the people who work there are evil and incompetent ! !",-1.0,-1.0,-1.0,-1.0
"the service was terrible , we had to wait for everything and ask several of different people for the same thing before we were allowed to be served .",-1.0,-1.0,-1.0,-1.0
"the waitress , seems to be more concerned of looking good than actually waitressing .",-1.0,-1.0,-1.0,-1.0
"after dinner the manager grabbed my boyfriend , asked him : where are you from . . . maybe you dont know how things work in america . . . and in the end stormed away almost teareyed yelling that tips are the only thing they survive on .",-1.0,-1.0,-1.0,-1.0
"we did tip , i guess the model / waitress just wanted more and complained to the manager .",-1.0,-1.0,-1.0,
pizza here is consistently good .,1.0,1.0,,
salads are a delicious way to begin the meal .,1.0,1.0,,1.0
it is thick and slightly soggy .,0.0,-1.0,,-1.0
decor is charming .,1.0,1.0,,1.0
service is average .,0.0,0.0,,0.0
what a great place .,1.0,1.0,1.0,1.0
"the ambience was so fun , and the prices were great , on top of the fact that the food was really tasty .",1.0,1.0,,1.0
"i was n ' t thrilled to have to wait on line for thirty minutes , but i guess that ' s the price you pay for a popular place .",0.0,0.0,,0.0
i would definitely recommend sea if you like thai cuisine !,1.0,1.0,,1.0
i was here a few weeks back and we had the worst customer service experience at a restaurant ever .,-1.0,-1.0,,-1.0
"a gentleman , maybe the manager , came to our table , and without so much as a smile or greeting asked for our order .",-1.0,-1.0,,-1.0
"while it is understandable that every place is indeed different , there was not a need to be uncourteous to customers and downright rude .",-1.0,-1.0,,-1.0
never again !,-1.0,-1.0,,
i absolutely loved this place .,1.0,1.0,,
"excellent atmosphere , delicious dishes good and friendly service .",1.0,1.0,,1.0
this is can became on e of the ny italian food fare institutions .,1.0,1.0,,1.0
i think that it is absolutely brilliant and well runned business operation .,1.0,1.0,,1.0
the wine list is also really nice .,1.0,1.0,,
i have been to casimir over 5 times and i have always had a great time there .,1.0,1.0,,
the food is great and reasonably priced .,1.0,1.0,,
"i have tried to make reservations , but both times , the hostess did n ' t have my name .",-1.0,-1.0,,
"if the weather is nice , try to snag an outside table .",1.0,1.0,,
"the staff has been nice , but they seemed really stressed and the unisex bathroom needs to be cleaned more often .",0.0,0.0,,
my boyfriend and i went there to celebrate my birthday the other night and all i can say is that it was magnificent .,1.0,1.0,,
"from the spectacular caviar to the hospitable waitstaff , i felt like royalty and enjoyed every second of it .",1.0,1.0,,
"considering we were the last patrons there and it was after the closing time , the waitstaff did not rush us at all and made us feel comfortable and relaxed .",1.0,1.0,,
i highly recommend caviar russe to anyone who wants delicious top grade caviar and fantastic service .,1.0,1.0,,
nice family owned traditional restaurant .,1.0,1.0,,
i was pleasantly surprised to find this gem in hoboken .,1.0,1.0,,
"i found the food to be outstanding , particulary the salmon dish i had .",1.0,1.0,,
"i also ordered the change mojito , which was out of this world .",1.0,1.0,,
"my friends settled for rice dishes , but we came back the following day to try the dim sum , which was good . . . not outstanding , but good .",0.0,1.0,,
"we ate out in the back patio , which is worth it as it ' s cool and the music is hear well there .",1.0,1.0,,
"overall , excellent restaurant !",1.0,1.0,,
the food was good .,1.0,1.0,,
the place was nice and calm .,1.0,1.0,,
but the service was a bit slow .,-1.0,-1.0,,
the buffet had a nice selection .,1.0,1.0,,
the food was average or above including some surprising tasty dishes .,1.0,1.0,,
service was also very good .,1.0,1.0,,
i would go back .,1.0,1.0,,
i got an excellent piece of cheesecake and we had several other nice pastries .,1.0,1.0,,
"i would recommend roxy ' s for that , but not for their food .",-1.0,-1.0,,
my son and his girlfriend both wanted cheeseburgers and they were huge !,1.0,1.0,,
"but , they were too big for the bun .",0.0,-1.0,,
"consequently , their burgers fell apart in their hands and made such a mess that they did ' nt feel like finishing them .",-1.0,-1.0,,
also they were $ 15 each !,-1.0,-1.0,,
i had a huge pastrami sandwich on a roll .,0.0,0.0,,
it was $ 14 not really bad for a pound of pastrami - but it did n ' t have much taste - i ' ve had better for less elsewhere !,0.0,-1.0,,
"this place is really trendi but they have forgotten about the most important part of a restaurant , the food .",-1.0,-1.0,,
"the last two times i ordered from here my food was soo spicy that i could barely eat it , and the spice took away from the flavor of the dish .",-1.0,-1.0,,
and the tom kha soup was pathetic .,-1.0,-1.0,,
if you want good authentic thai this place is not the place to go .,-1.0,-1.0,,
"we went here for lunch a couple of weeks ago on a saturday , and i was thoroughly impressed with the food .",1.0,1.0,,
"the pesto pizza was excellent , thin - crust pizza with a nice amount of spicy italian cheese that i ' d never heard of before .",1.0,1.0,,
"conveniently located too , being right on bedford ave .",1.0,1.0,,
"the back garden sitting area is very pleasant , where you can see their personal herb garden .",1.0,1.0,,
we had the lobster sandwich and it was fantastic .,1.0,1.0,,
"my husband said he could ' ve eaten several more , the portion was fine for me he even exclaimed that the french fries were the best he has had .",1.0,1.0,,
we had the scallops as an appetizer and they were delicious and the sauce was wonderful .,1.0,1.0,,
we waited at the bar and had martinis that were just right .,1.0,1.0,,
love the food .,1.0,1.0,,
it ' s the only place you can get yummy authentic japanese comfort food .,1.0,1.0,,
and you ca n ' t beat the prices .,1.0,1.0,,
i ' ve lived in ny for 5 years and this place has it all .,1.0,1.0,,
"great food , good size menu , great service and an unpretensious setting .",1.0,1.0,,
"the dishes offered were unique , very tasty and fresh from the lamb sausages , sardines with biscuits , large whole shrimp to the amazing pistachio ice cream ( the best and freshest i ' ve ever had ) .",1.0,1.0,,
i ' m glad i was introduced to this place and this is a rare gem in ny .,1.0,1.0,,
"the freshest , best variety , and the fastest delivery .",1.0,1.0,,
also very inexpensive .,1.0,1.0,,
the service was excellent and the food was delicious .,1.0,1.0,,
"we are very particular about sushi and were both please with every choice which included : ceviche mix ( special ) , crab dumplings , assorted sashimi , sushi and rolls , two types of sake , and the banana tempura .",1.0,1.0,,
definitely a great spot for a nice occasion or date .,1.0,1.0,,
"average to good thai food , but terrible delivery .",0.0,-1.0,,
i ' ve waited over one hour for food .,-1.0,-1.0,,
they were very abrupt with me when i called and actually claimed the food was late because they were out of rice .,-1.0,-1.0,,
a thai restaurant out of rice during dinner ?,-1.0,-1.0,,
"the food arrived 20 minutes after i called , cold and soggy .",-1.0,-1.0,,
this is a wonderful place on all stand points especially value ofr money .,1.0,1.0,,
an excellent service,1.0,1.0,,
we were greeted promptly by the waiter who was very nice and cordial .,1.0,1.0,,
she was very helpful in suggesting us drinks and helped us in ordering a lot of good dishes since we knew nothing about indian food .,1.0,1.0,,
the food looked very appetizing and delicious since it came on a variety of fancy plates .,1.0,1.0,,
we ended our great experience by having gulab jamun ( dessert ) recommended by the waiter .,1.0,1.0,,
i thanked my friend who recommended me this restaurant and will certainly recommend it to others .,1.0,1.0,,
"service here was great , food was fantastic .",1.0,1.0,,
"guacamole + shrimp appetizer was really great , we both had the filet , very good , did n ' t much like the frites that came with , but the filet was so good , neither of us cared .",1.0,1.0,,
will absolutely visit again .,1.0,1.0,,
you can not go wrong with this place .,1.0,1.0,,
"the food is outstanding and the service is quick , friendly and very professional .",1.0,1.0,,
"always a nice crowd , but never loud .",1.0,1.0,,
go here .,1.0,0.0,,
good for dates or with friends .,1.0,1.0,,
i am reluctant to write because i would not want my jem of a pizza place to become overcrowded .,1.0,1.0,,
"however , it is jus too good to not praise it .",1.0,1.0,,
"by far , the best pizza in manhattan .",1.0,1.0,,
"the crust is thin , the ingredients are fresh and the staff is friendly .",1.0,1.0,,
the menu has so many fish items and oysters .,1.0,0.0,,
"the fish was really , really fresh .",1.0,1.0,,
we all agreed that mare is one of the best seafood restaurants in new york .,1.0,1.0,,
i stumbled upon this great pizzeria as i explored my new neighborhood .,1.0,1.0,,
all of the pizzas are terrific and the price is even better !,1.0,1.0,,
i highly recommend the sophia pizza .,1.0,1.0,,
it ' s to die for !,1.0,1.0,,
the food was mediocre at best but it was the horrible service that made me vow never to go back .,-1.0,-1.0,,
"immediately after we paid , the waiter took the money and said , okay , you guys are outta here .",-1.0,-1.0,,
so rushing us out was absolutely unnecessary !,-1.0,-1.0,,
"for the people who want great food plus great service , roxy is a place to avoid !",-1.0,-1.0,,
"the first time the sushi was outstanding , the second time it was a little bland .",0.0,0.0,,
i ' m sure i ' ll return for a final judgement tho .,0.0,0.0,,
"the blond wood decor is very soothing , the premium sake is excellent and the service is great .",1.0,1.0,,
mizu is the japenese find in grammercy .,1.0,1.0,,
"while their kitchen food is delicious , their sushi is out of this world .",1.0,1.0,,
mizu is home to creative and unique rolls not to found anywhere else .,1.0,1.0,,
"not only is the cuisine the best around , the service has always been attentive and charming .",1.0,1.0,,
warning : you may find it difficult to dine at other japanese restaurants after a visit to mizu !,1.0,1.0,,
