text,target,has_number,has_rating_number,final_text,bert_text
the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .,1.0,False,False,food diamond rough food delicious homemade perfect balance herb tomato,the food is a diamond in rough - - the food is delicious and homemade with the perfect balance of herbs and tomatoes .
i would highly recommend it .,1.0,False,False,I would highly recommend,i would highly recommend it .
it ' s one of our favorite places to eat in ny .,1.0,False,False,one favorite place eat ny,it ' s one of our favorite places to eat in ny .
we had a great time at the jekyll and hyde pub last night .,1.0,False,False,great time jekyll hyde pub last night,we had a great time at the jekyll and hyde pub last night .
after really enjoying ourselves at the bar we sat down at a table and had dinner .,1.0,False,False,really enjoy bar sit table dinner,after really enjoying ourselves at the bar we sat down at a table and had dinner .
the server was really cool and served us our food and drinks with a smile .,1.0,False,False,server really cool serve food drink smile,the server was really cool and served us our food and drinks with a smile .
the place ' s decor and hidden bathrooms made for a good laugh .,1.0,False,False,place decor hide bathroom make good laugh,the place ' s decor and hidden bathrooms made for a good laugh .
i highly recommend visiting this restaurant and having dinner and drinks !,1.0,False,False,I highly recommend visit restaurant dinner drink !,i highly recommend visiting this restaurant and having dinner and drinks !
"if you are the type of person who likes being scared and entertained , this is a great place to go and eat .",1.0,False,False,type person like scared entertain great place go eat,"if you are the type of person who likes being scared and entertained , this is a great place to go and eat ."
"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini .",1.0,True,False,different beer offer thi guest make husband happy food delicious I must recommend dish must pumkin tortelini,"the have over 100 different beers to offer thier guest so that made my husband very happy and the food was delicious , if i must recommend a dish it must be the pumkin tortelini ."
the entertainment was great they have shows that go on through out the dinner .,1.0,False,False,entertainment great show go dinner,the entertainment was great they have shows that go on through out the dinner .
you will not be disapointed at all .,1.0,False,False,disapointe,you will not be disapointed at all .
we were not dissappointed in the least bit by this little gem .,1.0,False,False,dissappointe least bit little gem,we were not dissappointed in the least bit by this little gem .
the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .,1.0,False,False,worker also absolutely load bagel cream cheese get little messy,the workers there also absolutely load the bagel with cream cheese ( gets a little messy ) .
i loved it and would highly recommend .,1.0,False,False,I love would highly recommend,i loved it and would highly recommend .
this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .,1.0,False,False,frist time cafe st bart I must say delicious food service,this was my frist time at cafe st . bart ' s and i must say how delicious the food and the service was .
i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .,1.0,False,False,I highly recommend lobster roll much mayo tell fresh lobster,i have to highly recommend the lobster roll - not to much mayo ; you can tell it was a fresh lobster .
"other guests enjoyed pizza , santa fe chopped salad and fish and chips .",1.0,False,False,guest enjoy pizza santa fe chop salad fish chip,"other guests enjoyed pizza , santa fe chopped salad and fish and chips ."
"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service .",1.0,False,False,I highly recommend cafe st bart food ambience wonderful service,"i highly recommend cafe st . bart ' s for their food , the ambience and wonderful service ."
all the staff is absolutely professional ! !,1.0,False,False,staff absolutely professional ! !,all the staff is absolutely professional ! !
"there ' s nice and quiet , small but enough for 6 ( or more ) .",1.0,True,False,nice quiet small enough,"there ' s nice and quiet , small but enough for 6 ( or more ) ."
this restaurant was way overhyped .,0.0,False,False,restaurant way overhype,this restaurant was way overhyped .
my chow fun and chow see was really bland and oily .,0.0,False,False,chow fun chow see really bland oily,my chow fun and chow see was really bland and oily .
okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .,0.0,False,False,okay I n mind oily part cause cook way way bland,okay - i do n ' t mind the oily part ( cause most are cooked that way ) but it was way too bland .
the service was the only thing good about this restaurant .,0.0,False,False,service thing good restaurant,the service was the only thing good about this restaurant .
"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor .",0.0,False,False,bore inside sushi pretty average tuna soggy roll flavor,"it ' s boring on the inside , and our sushi was pretty below average . . . the tuna was soggy and the other rolls had no flavor ."
i definitely would n ' t go back .,0.0,False,False,I definitely would n go back,i definitely would n ' t go back .
their pad penang is delicious and everything else is fantastic .,1.0,False,False,pad penang delicious everything else fantastic,their pad penang is delicious and everything else is fantastic .
"great for a romantic evening , or a fun evening with friends . . .",1.0,False,False,great romantic evening fun evening friend,"great for a romantic evening , or a fun evening with friends . . ."
i will be going back very soon .,1.0,False,False,I go back soon,i will be going back very soon .
keep up the good work .,1.0,False,False,keep good work,keep up the good work .
it was wonderful .,1.0,False,False,wonderful,it was wonderful .
"the salads are delicious , both refreshing and very spicy .",1.0,False,False,salad delicious refreshing spicy,"the salads are delicious , both refreshing and very spicy ."
we had pam ' s special fried fish and it was amazing .,1.0,False,False,pam special fried fish amazing,we had pam ' s special fried fish and it was amazing .
too large for just two people but nothing was left .,1.0,False,False,large two people nothing leave,too large for just two people but nothing was left .
"great vibe , lots of people .",1.0,False,False,great vibe lot people,"great vibe , lots of people ."
"i did n ' t complain , i liked the atmosphere so much .",1.0,False,False,I n complain I like atmosphere much,"i did n ' t complain , i liked the atmosphere so much ."
on a hot day it was fabulous to stop in and enjoy lunch .,1.0,False,False,hot day fabulous stop enjoy lunch,on a hot day it was fabulous to stop in and enjoy lunch .
"ambience is so cute and quaint , good for business although we were there on vacation .",1.0,False,False,ambience cute quaint good business although vacation,"ambience is so cute and quaint , good for business although we were there on vacation ."
salads were fantastic .,1.0,False,False,salad fantastic,salads were fantastic .
although we were looking for regular lettuce and some walnuts the salads we got were great .,1.0,False,False,although look regular lettuce walnut salad get great,although we were looking for regular lettuce and some walnuts the salads we got were great .
ingredients are organic which is a real plus for me .,1.0,False,False,ingredient organic real plus I,ingredients are organic which is a real plus for me .
we will be back .,1.0,False,False,back,we will be back .
the spicy tuna roll is huge and probably the best that i ' ve had at this price range .,1.0,False,False,spicy tuna roll huge probably good I price range,the spicy tuna roll is huge and probably the best that i ' ve had at this price range .
the yellowtail was particularly good as well .,1.0,False,False,yellowtail particularly good well,the yellowtail was particularly good as well .
"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu .",0.0,True,False,I reservation eat deal however choice fairly limited probably order food eat less go menu,"i have reservations about the all you can eat deal , however - - the choices are fairly limited and you can probably order more food than you can eat for less than $ 18 by just going off the menu ."
"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town .",1.0,False,False,event place I sure stop I part town,"in any event , this is a place i ' ll be sure to stop by again when i ' m in this part of town ."
big wong gets big ups for a fine establishment .,1.0,False,False,big wong get big fine establishment,big wong gets big ups for a fine establishment .
"they have it all - - great price , food , and service .",1.0,False,False,great price food service,"they have it all - - great price , food , and service ."
the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .,0.0,False,False,atmosphere noisy waiter literally walk around thing fast,the atmosphere is noisy and the waiters are literally walking around doing things as fast as they can .
the food is prepared quickly and efficiently .,1.0,False,False,food prepare quickly efficiently,the food is prepared quickly and efficiently .
"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) .",1.0,True,False,come reasonable price congee noodle rice dish,"and it all comes at a very reasonable price ( congee , noodles , and rice dishes are no more than $ 3 - 6 each ) ."
the takeout is great too since they give high quality tupperware as well .,1.0,False,False,takeout great since give high quality tupperware well,the takeout is great too since they give high quality tupperware as well .
enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .,1.0,False,False,enjoy nice caesar salad wife arugula goat cheese tasty,enjoyed a very nice caesar salad while my wife had arugula and goat cheese . . . . both very tasty .
we both opted for a pasta dish and they were served timely and fresh .,1.0,False,False,opt pasta dish serve timely fresh,we both opted for a pasta dish and they were served timely and fresh .
"we concluded with tiramisu chocolate cake , both were delicious .",1.0,False,False,conclude tiramisu chocolate cake delicious,"we concluded with tiramisu chocolate cake , both were delicious ."
we ' d go back again,1.0,False,False,go back,we ' d go back again
i recently went to this restaurant with some co - workers for lunch and had an amazing time .,1.0,False,False,I recently go restaurant co worker lunch amazing time,i recently went to this restaurant with some co - workers for lunch and had an amazing time .
"the staff was accomodating , the food was absolutely delicious and the place is lovely .",1.0,False,False,staff accomodate food absolutely delicious place lovely,"the staff was accomodating , the food was absolutely delicious and the place is lovely ."
we even had a visit from the manager who wanted to make sure we were enjoying ourselves .,1.0,False,False,even visit manager want make sure enjoy,we even had a visit from the manager who wanted to make sure we were enjoying ourselves .
"yes , the prices are high , but i felt it was worth it .",1.0,False,False,yes price high I feel worth,"yes , the prices are high , but i felt it was worth it ."
we all felt it was worth it .,1.0,False,False,feel worth,we all felt it was worth it .
"sometimes i get bad food and bad service , sometimes i get good good and bad service .",0.0,False,False,sometimes I get bad food bad service sometimes I get good good bad service,"sometimes i get bad food and bad service , sometimes i get good good and bad service ."
it is not consistent .,0.0,False,False,consistent,it is not consistent .
the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .,1.0,False,False,place bistro mean simple dish wine serve efficiently bustling atmosphere,the place is a bistro which means : simple dishes and wine served efficiently in a bustling atmosphere .
and where does patis go wrong ; no where .,1.0,False,False,patis go wrong,and where does patis go wrong ; no where .
right off the l in brooklyn this is a nice cozy place with good pizza .,1.0,False,False,right l brooklyn nice cozy place good pizza,right off the l in brooklyn this is a nice cozy place with good pizza .
mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .,1.0,False,False,mine little burn still delicious goat cheese panchetta raddichio kind bitter though,mine was a little burnt but still delicious with goat cheese and panchetta ( raddichio was kind of bitter though ) .
my friend got the mushroom pizza which tasted better .,1.0,False,False,friend get mushroom pizza taste well,my friend got the mushroom pizza which tasted better .
the sangria was pretty tasty and good on a hot muggy day .,1.0,False,False,sangria pretty tasty good hot muggy day,the sangria was pretty tasty and good on a hot muggy day .
overall i would recommend it and go back again .,1.0,False,False,overall I would recommend go back,overall i would recommend it and go back again .
i started out with a bombay beer which was big enough for two .,1.0,False,False,I start bombay beer big enough two,i started out with a bombay beer which was big enough for two .
mmmmm . . . it was delicious .,1.0,False,False,mmmmm delicious,mmmmm . . . it was delicious .
it ' s a nice place to relax and have conversation .,1.0,False,False,nice place relax conversation,it ' s a nice place to relax and have conversation .
i ca n ' t wait to go back .,1.0,False,False,I n wait go back,i ca n ' t wait to go back .
the food is authentic italian - delicious !,1.0,False,False,food authentic italian delicious !,the food is authentic italian - delicious !
"pizza is terrific , as is homemade pasta .",1.0,False,False,pizza terrific homemade pasta,"pizza is terrific , as is homemade pasta ."
"ambience is delightful , service impeccable .",1.0,False,False,ambience delightful service impeccable,"ambience is delightful , service impeccable ."
service was also horrible and the ambience is not that great .,0.0,False,False,service also horrible ambience great,service was also horrible and the ambience is not that great .
do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .,0.0,False,False,try unless go hang like rest hipster apparently sense taste,do not try unless you ' re just going there to hang out like the rest of the hipsters who apparently have no sense of taste .
i go and eat out at many different restaurants and this is one place you have go and try .,1.0,False,False,I go eat many different restaurant one place go try,i go and eat out at many different restaurants and this is one place you have go and try .
this is my first time writing a review for a restaurant because the food and service was excellent .,1.0,False,False,first time write review restaurant food service excellent,this is my first time writing a review for a restaurant because the food and service was excellent .
the filet mignon dish was superb !,1.0,False,False,filet mignon dish superb !,the filet mignon dish was superb !
i would defiantly come back here again as one of my top choices .,1.0,False,False,I would defiantly come back one top choice,i would defiantly come back here again as one of my top choices .
it ' s a small cute restaurant .,1.0,False,False,small cute restaurant,it ' s a small cute restaurant .
i absolutely love this place ! ! !,1.0,False,False,I absolutely love place ! ! !,i absolutely love this place ! ! !
"i like the ambience , it ' s very dark and original .",1.0,False,False,I like ambience dark original,"i like the ambience , it ' s very dark and original ."
the sushi is amazing ! ! !,1.0,False,False,sushi amazing ! ! !,the sushi is amazing ! ! !
and amazingly cheap .,1.0,False,False,amazingly cheap,and amazingly cheap .
very affordable and excellent ambient !,1.0,False,False,affordable excellent ambient !,very affordable and excellent ambient !
we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .,0.0,False,False,order beef noodle soup dish thai section menu nothing get thai,we ordered some beef and noodle soup dishes from the thai section of the menu but nothing we got was thai .
we were very disappointed .,0.0,False,False,disappointed,we were very disappointed .
we wo n ' t go to this place again for a good meal .,0.0,False,False,n go place good meal,we wo n ' t go to this place again for a good meal .
"however , i think this place is a good hang out spot .",1.0,False,False,however I think place good hang spot,"however , i think this place is a good hang out spot ."
my girlfriend and i stumbled onto this hopping place the other night and had a great time !,1.0,False,False,girlfriend I stumble onto hopping place night great time !,my girlfriend and i stumbled onto this hopping place the other night and had a great time !
"they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it .",1.0,False,False,tell I go cover garden glass winter I look forward go snowy night enjoy,"they tell me they are going to cover the garden in glass for the winter , so i ' m looking forward to going there on a snowy night to enjoy it ."
check this place out !,1.0,False,False,check place !,check this place out !
highly recommended ! ! ! ! !,1.0,False,False,highly recommend ! ! ! ! !,highly recommended ! ! ! ! !
"first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review .",0.0,False,False,first place romantic claim citysearch editorial review,"first of all , this place is * not * romantic , as claimed by citysearch ' s editorial review ."
"either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th .",0.0,True,False,either editor idea romance must share conversation next table try speak louder traffic th,"either that , or the editor ' s idea of romance must be sharing a conversation with the next table , while trying to speak louder than the traffic on 57th ."
"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced .",0.0,False,False,table cram way close menu typical italian restaurant wine list simply overpriced,"the tables are crammed way too close , the menu is typical of any italian restaurant , and the wine list is simply overpriced ."
service is not what one would expect from a joint in this price category .,0.0,False,False,service one would expect joint price category,service is not what one would expect from a joint in this price category .
"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . .",0.0,False,False,instance plate dump table I hand wine list upside etc,"for instance , plates were just dumped on the table , i was handed the wine list upside down , etc . . . ."
somehow working the italian charm with constant mille grazie does not constitute proper service .,0.0,False,False,somehow work italian charm constant mille grazie constitute proper service,somehow working the italian charm with constant mille grazie does not constitute proper service .
"to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of teodora .",0.0,False,False,completely fair redeem factor food average could n make deficiency teodora,"to be completely fair , the only redeeming factor was the food , which was above average , but could n ' t make up for all the other deficiencies of teodora ."
not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .,0.0,False,False,one meal edible bland make weird rosemary orange flavoring,not one of our meals was edible - bland and / or made with weird rosemary or orange flavoring .
fish was overdone .,0.0,False,False,fish overdone,fish was overdone .
"cute place , nice wait staff but would never go there again .",0.0,False,False,cute place nice wait staff would never go,"cute place , nice wait staff but would never go there again ."
someone else recommended the dessert - we also left that .,0.0,False,False,someone else recommend dessert also leave,someone else recommended the dessert - we also left that .
one of us actually liked the expresso - that ' s it .,0.0,False,False,one actually like expresso,one of us actually liked the expresso - that ' s it .
"skip this restaurant , it ' s a big disappointment .",0.0,False,False,skip restaurant big disappointment,"skip this restaurant , it ' s a big disappointment ."
myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .,1.0,False,False,myagi one favorite restaurant city place negative review describe sound like somewhere else,myagi is one of my favorite restaurants in the city ; the place the negative reviews describe sound like they were somewhere else .
i ' ve never had bad service and the fish is fresh and delicious .,1.0,False,False,I never bad service fish fresh delicious,i ' ve never had bad service and the fish is fresh and delicious .
their tuna tartar appetizer is to die for .,1.0,False,False,tuna tartar appetizer die,their tuna tartar appetizer is to die for .
"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away .",1.0,False,False,I come family pizzeria owner I almost ashamed say pizza fornino blow family receipie away,"i come from a family of pizzeria owners , and i ' m almost ashamed to say that the pizza in fornino ' s blows my families receipies away ."
the place is so cool and the service is prompt and curtious .,1.0,False,False,place cool service prompt curtious,the place is so cool and the service is prompt and curtious .
i highly recommend to anyone to give this place a try .,1.0,False,False,I highly recommend anyone give place try,i highly recommend to anyone to give this place a try .
you will find yourself returning quite often .,1.0,False,False,find return quite often,you will find yourself returning quite often .
a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .,1.0,False,False,restaurant n try anything except serve great food great service pleasant atmosphere,a restaurant that does n ' t try to do anything except serve great food with great service in a pleasant atmosphere .
no gimmicks here - - the food speaks for itself in its freshness and preparation .,1.0,False,False,gimmick food speak freshness preparation,no gimmicks here - - the food speaks for itself in its freshness and preparation .
the dining room is quietly elegant with no music to shout over - - how refreshing !,1.0,False,False,dining room quietly elegant music shout refreshing !,the dining room is quietly elegant with no music to shout over - - how refreshing !
"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs .",1.0,False,False,service impeccable unobtrusive staff know know menu present meal attend need,"the service was impeccable and unobtrusive - - the staff knows what they are there to do - - to know their menu , present your meal , and attend to your needs ."
"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen .",1.0,False,False,look around I see room full new yorker enjoy real meal real restaurant clubhouse fabulous try see,"looking around , i saw a room full of new yorkers enjoying a real meal in a real restaurant , not a clubhouse of the fabulous trying to be seen ."
the view is breathtaking the service is top notch . . . the ambiance is wonderful .,1.0,False,False,view breathtake service top notch ambiance wonderful,the view is breathtaking the service is top notch . . . the ambiance is wonderful .
the staff offers impeccable service .,1.0,False,False,staff offer impeccable service,the staff offers impeccable service .
my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .,1.0,False,False,boyfriend new england chowder good I think award go lobster bisque,my boyfriend had the new england chowder it was good but i think the award should go to the lobster bisque .
it was divine melts in your mouth .,1.0,False,False,divine melt mouth,it was divine melts in your mouth .
my boyfriend had prime rib it was good .,1.0,False,False,boyfriend prime rib good,my boyfriend had prime rib it was good .
we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .,1.0,False,False,n want bottle bubbly weekday get little bottle korbett enough,we did n ' t want a bottle of bubbly on a weekday so we each got little bottles of korbett it was just enough .
it ' s cuz it ' s so good you need to taste it ! ! !,1.0,False,False,cuz good need taste ! ! !,it ' s cuz it ' s so good you need to taste it ! ! !
all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !,1.0,False,False,already come excuse go ahead really soon next wk ! ! ! !,all in all we ' re already coming up with excuses to go ahead really soon in the next few wks ! ! ! !
my wife and i ate here earlier this week and have not stopped ranting and raving about the food .,1.0,False,False,wife I eat early week stop rant rave food,my wife and i ate here earlier this week and have not stopped ranting and raving about the food .
if you like spicy food get the chicken vindaloo .,1.0,False,False,like spicy food get chicken vindaloo,if you like spicy food get the chicken vindaloo .
we will definitely go back .,1.0,False,False,definitely go back,we will definitely go back .
go to volare for 1st class service and terrific food .,1.0,True,False,go volare st class service terrific food,go to volare for 1st class service and terrific food .
the portions are large and the servers always surprise us with a different starter .,1.0,False,False,portion large server always surprise different starter,the portions are large and the servers always surprise us with a different starter .
the wine list is excellent .,1.0,False,False,wine list excellent,the wine list is excellent .
the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .,1.0,False,False,food amazing especially get chef tasting menu favourite bottle two ! wine extensive selection wine,the food is amazing . . . especially if you get the chef ' s tasting menu and your favourite bottle ( or two ! ) of wine from an extensive selection of wines .
"the place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion .",1.0,False,False,place small intimate may feel little crowded service excellent great friend romantic date special occassion,"the place is small and intimate and you may feel a little crowded , but the service is excellent and it ' s great for friends out , a romantic date , or a special occassion ."
the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .,1.0,False,False,food get pricey prixe fixe tasting menu great food good price cater food food allergy food n like,the food can get pricey but the prixe fixe tasting menu is the greatest food for a good price and they cater the food to any food allergies or food you do n ' t like .
"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat .",0.0,False,False,order special grill branzino infused bone difficult eat,"we ordered the special , grilled branzino , that was so infused with bone , it was difficult to eat ."
problem is nothing at prune is particularly memorable .,0.0,False,False,problem nothing prune particularly memorable,problem is nothing at prune is particularly memorable .
no plans to return anytime soon .,0.0,False,False,plan return anytime soon,no plans to return anytime soon .
this place is so much fun .,1.0,False,False,place much fun,this place is so much fun .
our family never expected such incredible entertainment in a restaurant .,1.0,False,False,family never expect incredible entertainment restaurant,our family never expected such incredible entertainment in a restaurant .
our food was great too !,1.0,False,False,food great !,our food was great too !
and really large portions .,1.0,False,False,really large portion,and really large portions .
the staff was the friendliest that have seen in new york .,1.0,False,False,staff friendly see new york,the staff was the friendliest that have seen in new york .
if you want something really different than try jekyll and hyde .,1.0,False,False,want something really different try jekyll hyde,if you want something really different than try jekyll and hyde .
it is a lot of fun with live entertainment and all kinds of disney type special effects .,1.0,False,False,lot fun live entertainment kind disney type special effect,it is a lot of fun with live entertainment and all kinds of disney type special effects .
the food was pretty tradional but it was hot and good with large portions .,1.0,False,False,food pretty tradional hot good large portion,the food was pretty tradional but it was hot and good with large portions .
i highly recommend it .,1.0,False,False,I highly recommend,i highly recommend it .
the place is a lot of fun .,1.0,False,False,place lot fun,the place is a lot of fun .
my six year old loved it .,1.0,False,False,six year old love,my six year old loved it .
it is very overpriced and not very tasty .,0.0,False,False,overpriced tasty,it is very overpriced and not very tasty .
went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .,0.0,False,False,go wife wait table even though could see many empty reservation sigh,went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them .
service was slow had to wait to order and get food although not crowded .,0.0,False,False,service slow wait order get food although crowd,service was slow had to wait to order and get food although not crowded .
drinks way over priced .,0.0,False,False,drink way price,drinks way over priced .
food was good not great not worth the wait or another visit,0.0,False,False,food good great worth wait another visit,food was good not great not worth the wait or another visit
great pizza for lunch place .,1.0,False,False,great pizza lunch place,great pizza for lunch place .
service was quick .,1.0,False,False,service quick,service was quick .
the pizza was great .,1.0,False,False,pizza great,the pizza was great .
and it was quick which is very important .,1.0,False,False,quick important,and it was quick which is very important .
"whenever you need a sushi fix , mizu will be there with quality fish and great service .",1.0,False,False,whenever need sushi fix mizu quality fish great service,"whenever you need a sushi fix , mizu will be there with quality fish and great service ."
delivery is fast too .,1.0,False,False,delivery fast,delivery is fast too .
"great friendly service , fast seating , fast delivery , excellent sushi .",1.0,False,False,great friendly service fast seat fast delivery excellent sushi,"great friendly service , fast seating , fast delivery , excellent sushi ."
ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .,1.0,False,False,ess bagel either sty town midtown far good bagel ny,ess - a - bagel ( either by sty - town or midtown ) is by far the best bagel in ny .
"the bagels always warm , soft on the inside , crispy on the outside and enormous in size .",1.0,False,False,bagel always warm soft inside crispy outside enormous size,"the bagels always warm , soft on the inside , crispy on the outside and enormous in size ."
they have a huge selection of different cream cheeses and all of their salads are great .,1.0,False,False,huge selection different cream cheese salad great,they have a huge selection of different cream cheeses and all of their salads are great .
the lox is always fresh too .,1.0,False,False,lox always fresh,the lox is always fresh too .
highly recommended to all !,1.0,False,False,highly recommend !,highly recommended to all !
not impressed with the food .,0.0,False,False,impress food,not impressed with the food .
prices too high for this cramped and unappealing resturant .,0.0,False,False,price high cramp unappeale resturant,prices too high for this cramped and unappealing resturant .
zero ambiance to boot .,0.0,False,False,zero ambiance boot,zero ambiance to boot .
i thought this place was totally overrated .,0.0,False,False,I think place totally overrate,i thought this place was totally overrated .
"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices .",0.0,False,False,add together n seem worth I especially consider price,"when you add it all together , it just does n ' t seem worth it to me . . . especially considering the prices ."
this is the best shabu - shabu restaurant in the try - state area .,1.0,False,False,good shabu shabu restaurant try state area,this is the best shabu - shabu restaurant in the try - state area .
thius is a must for anyone who loves shabu - shabu .,1.0,False,False,thius must anyone love shabu shabu,thius is a must for anyone who loves shabu - shabu .
the owner and staff are all japanese as well and that adds to the entire ambiance .,1.0,False,False,owner staff japanese well add entire ambiance,the owner and staff are all japanese as well and that adds to the entire ambiance .
"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art .",1.0,False,False,despite slightly limit menu everything prepare perfection ultra fresh work food art,"despite a slightly limited menu , everything prepared is done to perfection , ultra fresh and a work of food art ."
taxan delicious !,1.0,False,False,taxan delicious !,taxan delicious !
"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !",1.0,False,False,restaurant recommend local matter fact make reservation say would disappoint !,"this restaurant was recommended by a local . . . as a matter of fact , he made the reservation for us and said we would not be disappointed !"
the prices were cheap compared to the quality of service and food .,1.0,False,False,price cheap compare quality service food,the prices were cheap compared to the quality of service and food .
"we liked it so much , that we will always make it a point to dine here when we visit new york .",1.0,False,False,like much always make point dine visit new york,"we liked it so much , that we will always make it a point to dine here when we visit new york ."
the location and ambience is ok but the food is what makes up for it .,1.0,False,False,location ambience ok food make,the location and ambience is ok but the food is what makes up for it .
there is a lot of variety even for people who eat vegetarian like me .,1.0,False,False,lot variety even people eat vegetarian like I,there is a lot of variety even for people who eat vegetarian like me .
"the quantity is also very good , you will come out satisfied .",1.0,False,False,quantity also good come satisfied,"the quantity is also very good , you will come out satisfied ."
"the service is ok , some of the people did n ' t get what they asked for .",0.0,False,False,service ok people n get ask,"the service is ok , some of the people did n ' t get what they asked for ."
i was there on sat . for my birthday and we had an excellent time .,1.0,False,False,I sit birthday excellent time,i was there on sat . for my birthday and we had an excellent time .
i had the best ravioli ever .,1.0,False,False,I good ravioli ever,i had the best ravioli ever .
the wine the service was very good too .,1.0,False,False,wine service good,the wine the service was very good too .
a little noise but i think that was because of our party !,1.0,False,False,little noise I think party !,a little noise but i think that was because of our party !
this quaint and romantic trattoria is at the top of my manhattan restaurant list .,1.0,False,False,quaint romantic trattoria top manhattan restaurant list,this quaint and romantic trattoria is at the top of my manhattan restaurant list .
"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment .",1.0,False,False,food delicious special regular menu fare dish never disappointment,"the food is delicious - from the specials to the regular menu - fare , the dishes are never a disappointment ."
"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite .",1.0,False,False,whether parmesean porcini souffle lamb glaze balsamic vinegar surely transport northern italy one bite,"whether it ' s the parmesean porcini souffle or the lamb glazed with balsamic vinegar , you will surely be transported to northern italy with one bite ."
"although the tables may be closely situated , the candle - light , food - quality and service overcompensate .",1.0,False,False,although table may closely situate candle light food quality service overcompensate,"although the tables may be closely situated , the candle - light , food - quality and service overcompensate ."
a guaranteeed delight !,1.0,False,False,guaranteeed delight !,a guaranteeed delight !
"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices .",1.0,True,False,I know secret last year emilio godfather continue serve food wine god mortal price,"i have known about this secret for the last 13 years , emilio ( the godfather ) has continued to serve food and wine for the gods at mortal prices ."
"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious .",1.0,False,False,go try marinara arrabiatta sauce mozzarella en carozza mmmmmmmm everything delicious,"if you go , try the marinara / arrabiatta sauce , the mozzarella en carozza is mmmmmmmm . . . . . everything is just delicious ."
i pray it stays open forever .,1.0,False,False,I pray stay open forever,i pray it stays open forever .
"i found the food , service and value exceptional everytime i have been there .",1.0,False,False,I find food service value exceptional everytime I,"i found the food , service and value exceptional everytime i have been there ."
i felt as though i were eating in paris .,1.0,False,False,I feel though I eat paris,i felt as though i were eating in paris .
the service was excellent - friendly and attentive .,1.0,False,False,service excellent friendly attentive,the service was excellent - friendly and attentive .
